BoundayID,ShiftAmount,ActualArea,Ratio
0,0,0,0
1,8689052,3.77E+06,0.434212
2,12334256,3.78E+06,0.30631
3,0,0,0
4,6174488,3.22E+06,0.520833
5,6701840,3.16E+06,0.472155
6,293937,293937,1
7,5025815,3.15E+06,0.626012
8,9544136,2.86E+06,0.299799
9,4730908,2.87E+06,0.605757
10,0,0,0
11,4574868,2.99E+06,0.653665
12,9148566,3.18E+06,0.347287
13,11131514,3.23E+06,0.290483
14,16548962,4.50E+06,0.272094
15,8702589,0,0
16,16004041,2.58E+06,0.161459
17,8833483,3.40E+06,0.38482
18,4125665,3.32E+06,0.803521
19,389267,389267,1
20,5196760,2.97E+06,0.572237
21,9459991,2.88E+06,0.304354
22,4683233,2.86E+06,0.609819
23,7585,7585,1
24,4571803,2.93E+06,0.641445
25,9083331,3.06E+06,0.336871
26,15465849,3.71E+06,0.239975
27,10012497,6.88E+06,0.687263
28,12876154,0,0
29,4809376,2.70E+06,0.560711
30,9740528,4.36E+06,0.447943
31,4336910,3.17E+06,0.730827
32,565567,565567,1
33,5566475,2.93E+06,0.526971
34,9188876,2.88E+06,0.313016
35,4463318,2.85E+06,0.639594
36,188080,188080,1
37,4901018,3.19E+06,0.650932
38,9189156,3.13E+06,0.340504
39,12557604,3.23E+06,0.257215
40,18300312,4.18E+06,0.228473
41,11574039,0,0
42,6901521,4.88E+06,0.706605
43,9165873,3.26E+06,0.356097
44,4504235,3.21E+06,0.712709
45,801832,801832,1
46,4974660,3.55E+06,0.714133
47,9429391,2.87E+06,0.304311
48,4649353,2.86E+06,0.61464
49,51795,51795,1
50,4602063,2.95E+06,0.64196
51,9136201,3.11E+06,0.340852
,,,0.493420462
